	filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
0	POR0058_AlbPim_Mercedes	POR0058	Pimentel, Alberto	O Romance da Rainha Mercedes: Edição para o ELTeC	1849	1925	M	NA	NA	1879	NA	short	unmarked	T2	12953	pt-PT
1	POR0027_MJTM_MariaDaFonte	POR0027	Mascarenhas, Miguel J. T.	Um conto portuguez: Edição para o ELTeC	NA	NA	M	NA	NA	1873	NA	medium	low	T2	58236	pt-PT
2	POR0042_TeoBra_Viriato	POR0042	Braga, Teófilo	Viriato: Edição para o ELTeC	1843	1924	M	NA	NA	1904	NA	medium	unspecified	T4	61600	pt-PT
3	POR0022_AlbPim_Cintra	POR0022	Pimentel, Alberto	Noites de Cintra: Edição para o ELTeC	1849	1925	M	NA	NA	1892	NA	short	unspecified	T3	31778	pt-PT
4	POR0065_MarONei_Marquesa	POR0065	O'Neill, Maria	A Marquesa de Vale Negro: Edição para o ELTeC	1873	1932	F	NA	NA	1914	NA	short	low	T4	44818	pt-PT
5	POR0029_DiodMac_Cristao	POR0029	Macedo, Diogo de	O Christão novo: Edição para o ELTeC	NA	NA	M	NA	NA	1876	NA	short	low	T2	25603	pt-PT
6	POR0036_JosAVie_Divorciada	POR0036	Vieira, José Augusto	A Divorciada: Edição para o ELTeC	1856	1890	M	NA	NA	NA	NA	medium	unspecified	T4	50744	pt-PT
7	POR0053_AbeBot_Lavos	POR0053	Botelho, Abel	O Barão de Lavos: Edição para o ELTeC	1854	1917	M	NA	NA	1891	NA	long	unmarked	T3	106373	pt-PT
8	POR0007_JulDin_Inglesa	POR0007	Dinis, Júlio	Uma Família Inglesa: Edição para o ELTeC	1839	1871	M	NA	NA	1868	NA	long	high	T2	124359	pt-PT
9	POR0069_MPerSou_Henriqueta	POR0069	Sousa, Maria Peregrina de	Henriqueta: Edição para o ELTeC	1809	1886	F	NA	NA	1867	NA	short	low	T2	19172	pt-PT
10	POR0057_FiaAlm_Ruiva	POR0057	Almeida, Fialho de	A ruiva: Edição para o ELTeC	1857	1911	M	NA	NA	1881	NA	short	unspecified	T3	24147	pt-PT
11	POR0064_AlmGar_Helena	POR0064	Almeida Garrett, João Baptista da Silva Leitão de	Helena: Edição para o ELTeC	1799	1854	M	NA	NA	1854	NA	medium	high	T1	24390	pt-PT
12	POR0009_EcaQue_Amaro	POR0009	Eça de Queirós, José Maria de	O Crime do Padre Amaro: Edição para o ELTeC	1845	1900	M	NA	NA	1875	NA	long	high	T3	142688	pt-PT
13	POR0045_AntATVas_Castromino	POR0045	Vasconcellos, Antonio Augusto Teixeira de	A ermida de Castromino: Edição para o ELTeC	1816	1878	M	NA	NA	1870	NA	medium	unspecified	T2	85383	pt-PT
14	POR0037_AntCamJ_Namorados	POR0037	Campos Junior, António	A Ala dos Namorados: Edição para o ELTeC	1850	1917	M	NA	NA	1905	NA	long	unspecified	T4	238762	pt-PT
15	POR0043_LuiMag_Soares	POR0043	Magalhães, Luís de	O Brasileiro Soares: Edição para o ELTeC	1859	1935	M	NA	NA	1886	NA	short	unspecified	T3	39730	pt-PT
16	POR0020_AbeBot_Crioulo	POR0020	Botelho, Abel	Amor crioulo: Edição para o ELTeC	1854	1917	M	NA	NA	1917	NA	medium	unspecified	T4	80661	pt-PT
17	POR0026_TeiQue_Salustio	POR0026	Queirós, Teixeira de	O Salústio Nogueira: Edição para o ELTeC	1848	1919	M	NA	NA	1883	NA	long	unspecified	T3	110206	pt-PT
18	POR0013_RauBra_Pobres	POR0013	Brandão, Raul	Os pobres: Edição para o ELTeC	1867	1930	M	NA	NA	1906	NA	short	high	T4	45630	pt-PT
19	POR0003_AleHer_Cister	POR0003	Herculano, Alexandre	 O Monge de Cister: Edição para o ELTeC	1810	1877	M	NA	NA	1848	NA	long	high	T1	130495	pt-PT
20	POR0068_ClaCam_Elle	POR0068	Campos, Claudia de	Elle : edição para o ELTeC	1859	1916	F	NA	NA	1899	NA	medium	unspecified	T4	50386	pt-PT
