id,year,year-cat,length-cat,canon-cat,author-name,book-title,length,gender-cat,origin,place-publ,subgenre
POR0001,1868,T2,long,high,Júlio Dinis,A Morgadinha dos Canaviais,150996,M,Gutenberg,Porto,nao
POR0002,1908,T4,short,low,Ana de Castro Osório,Sacrificada,17416,F,Gutenberg,Coimbra,nao
POR0003,1848,T1,long,high,Alexandre Herculano,O Monge de Cister,131300,M,archive,Lisboa,hist
POR0004,1846,T1,medium,high,Almeida Garrett,Viagens na Minha Terra,71156,M,Gutenberg,Lisboa,nao
POR0005,1888,T3,long,high,Eça de Queirós,Os Maias,217462,M,Gutenberg,Lisboa,nao
POR0006,1855,T1,medium,low,Maria do Monte de Santana e Vasconcelos,O Cura de São Lourenço,51484,F,BN,Lisboa,nao
POR0007,1867,T2,long,high,Júlio Dinis,Uma Família Inglesa,123135,M,Gutenberg,Porto,nao
POR0008,1900,T4,long,high,Eça de Queirós,A Ilustre Casa de Ramires,108451,M,Gutenberg,Porto,hist
POR0009,1875,T2,long,high,Eça de Queirós,O Crime do Padre Amaro,142963,M,Gutenberg,Porto,nao
POR0010,1862,T2,medium,high,Camilo Castelo Branco,Amor de Perdição,50353,M,Gutenberg,Porto,nao
POR0011,1858,T1,short,high,Camilo Castelo Branco,O Que Fazem Mulheres,41587,M,Gutenberg,Porto,nao
POR0012,1854,T1,long,high,Camilo Castelo Branco,Mistérios de Lisboa,196947,M,Luso-livros,Porto,nao
POR0013,1906,T4,short,high,Raul Brandão,Os Pobres,40117,M,Gutenberg,Lisboa,nao
POR0014,1906,T4,short,low,Faustino da Fonseca,Os Bravos do Mindelo,49385,M,Gutenberg,Lisboa,hist
POR0015,1867,T2,long,high,Júlio Dinis,Os Fidalgos da Casa Mourisca,145632,M,Gutenberg,Porto,nao
POR0016,1865,T4,medium,low,Luís Augusto Rebelo da Silva,A Casa dos Fantasmas,93020,M,Gutenberg,Lisboa,nao
POR0017,1874,T4,short,low,Manuel Joaquim Pinheiro Chagas,A Lenda da Meia-Noite,49152,M,Gutenberg,Lisboa,nao
POR0018,1908,T4,medium,low,António de Albuquerque,O Marquês da Bacalhoa,56493,M,archive,Lisboa,nao
POR0019,1914,T4,short,high,Mário de Sá Carneiro,A Confissão de Lúcio,26021,M,Luso-livros,Lisboa,nao
POR0020,1917,T4,medium,unspecified,Abel Botelho,Amor crioulo,81492,M,Gutenberg,Porto,nao
POR0021,1888,T3,short,high,Conde de Ficalho,Uma Eleição Perdida,26525,M,archive,Lisboa,nao
POR0022,1892,T3,short,low,Alberto Pimentel,Noites de Sintra,32610,M,Gutenberg,Lisboa,nao
POR0023,1848,T1,medium,high,Alexandre Herculano,Eurico o Presbítero,58989,M,Gutenberg,Lisboa,hist
POR0024,1873,T2,short,low,Alfredo Campos,A filha do Cabinda,27975,M,Gutenberg,Porto,nao
POR0025,1870,T2,medium,high,Manuel Maria Rodrigues,A Rosa do Adro,58928,M,Luso-livros,desc,nao
POR0026,1883,T3,long,unspecified,Teixeira de Queirós,O Salústio Nogueira,110267,M,archive,Lisboa,nao
POR0027,1873,T2,medium,low,Miguel J. T. Mascarenhas,Um conto português: episódio da guerra civil: a Maria da Fonte,58921,M,Gutenberg,Porto,hist
POR0028,1875,T2,short,low,S. de Magalhães Lima,A senhora viscondessa,26539,M,Gutenberg,Coimbra,nao
POR0029,1876,T2,short,low,Diogo de Macedo,O Cristão novo,25948,M,Gutenberg,Porto,hist
POR0030,1861,T2,short,low,António Feliciano de Castilho,A chave do enigma,47166,M,Gutenberg,Lisboa,nao
POR0031,1897,T3,medium,low,Zeferino Norberto Gonçalves Brandão,Pero da Covilhã: Episódio Romântico do Século XV,52400,M,Gutenberg,Lisboa,hist
POR0032,1899,T3,medium,low,Jayme de Magalhães Lima,Transviado,77983,M,Gutenberg,Lisboa,nao
POR0033,1904,T4,long,low,António da Costa Couto Sá de Albergaria,Os filhos do padre Anselmo,119384,M,Gutenberg,Porto,nao
POR0034,1874,T2,medium,low,Tomaz de Melo,O Conde de S. Luís,54874,M,Gutenberg,Lisboa,nao
POR0035,1900,T4,short,low,Mauricia C. de Figueiredo,O exilado,42234,F,archive,Lisboa,hist
POR0036,1881,T3,short,low,José Augusto Vieira,A Divorciada,49574,M,Gutenberg,Lisboa,nao
POR0037,1905,T4,long,unspecified,António Campos Júnior,A Ala dos Namorados,235443,M,Luso-livros,desc,hist
POR0038,1843,T1,medium,high,Alexandre Herculano,O Bobo,61739,M,Luso-livros,desc,hist
POR0039,1846,T1,short,low,Inácio Pizarro,O Engeitado,41263,M,googlebooks,Porto,nao
POR0040,1857,T1,short,low,Antonio José Coelho Lousada,Os tripeiros: Crónica do século XIV,38682,M,Luso-livros,desc,hist
POR0041,1916,T4,medium,low,João José Grave,A morte vence,62972,M,Gutenberg,Porto,nao
POR0042,1904,T4,medium,high,Teófilo Braga,Viriato,62803,M,Gutenberg,Porto,hist
POR0043,1886,T3,short,high,Luís de Magalhães,O Brasileiro Soares,40044,M,BN,Lisboa,nao
POR0044,1877,T2,short,unspecified,Maria Amália Vaz de Carvalho,Alice,14919,F,archive,Lisboa,nao
